"Path ID","Unique ID","Rule ID","Left","Right"
"1","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"1","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"1","TRS_0_1_8_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM12","1.CMPD_0000000006"
"1","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"1","TRS_0_2_223_0","MNXR53231_MNXM890,MNXR93744_MNXM890","1.CMPD_0000000163","1.CMPD_0000000026"
"1","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"2","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"2","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"2","TRS_0_1_3_0","MNXR1772_MNXM12,MNXR78501_MNXM12","1.CMPD_0000000018:1.MNXM3","1.CMPD_0000000006"
"2","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"2","TRS_0_2_223_0","MNXR53231_MNXM890,MNXR93744_MNXM890","1.CMPD_0000000163","1.CMPD_0000000026"
"2","TRS_0_2_9_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM481","1.CMPD_0000000018"
"2","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"3","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"3","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"3","TRS_0_1_8_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM12","1.CMPD_0000000006"
"3","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"3","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"3","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"3","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"4","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"4","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"4","TRS_0_1_8_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM12","1.CMPD_0000000006"
"4","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"4","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"4","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"4","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"5","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"5","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"5","TRS_0_1_8_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM12","1.CMPD_0000000006"
"5","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"5","TRS_0_2_224_0","MNXR89767_MNXM890","1.CMPD_0000000170","1.CMPD_0000000026"
"5","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"5","TRS_0_3_334_0","MNXR8824_MNXM3476,MNXR94628_MNXM3476","1.CMPD_0000000163:1.MNXM10","1.CMPD_0000000170"
"6","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"6","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"6","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"6","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"6","TRS_0_2_232_0","MNXR5338_MNXM2779","1.CMPD_0000000180:1.MNXM10","1.CMPD_0000000011"
"6","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"6","TRS_0_3_349_0","MNXR16006_MNXM204,MNXR93854_MNXM204","1.MNXM01:1.MNXM4:1.MNXM421","1.CMPD_0000000180"
"7","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"7","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"7","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"7","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"7","TRS_0_2_231_0","MNXR23496_MNXM2779","1.CMPD_0000000179:1.MNXM4","1.CMPD_0000000011"
"7","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"7","TRS_0_3_744_0","MNXR26351_MNXM577,MNXR84969_MNXM577","1.MNXM2:1.MNXM828","1.CMPD_0000000179"
"8","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"8","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"8","TRS_0_1_3_0","MNXR1772_MNXM12,MNXR78501_MNXM12","1.CMPD_0000000018:1.MNXM3","1.CMPD_0000000006"
"8","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"8","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"8","TRS_0_2_9_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM481","1.CMPD_0000000018"
"8","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"8","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"9","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"9","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"9","TRS_0_1_3_0","MNXR1772_MNXM12,MNXR78501_MNXM12","1.CMPD_0000000018:1.MNXM3","1.CMPD_0000000006"
"9","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"9","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"9","TRS_0_2_9_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM481","1.CMPD_0000000018"
"9","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"9","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"10","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"10","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"10","TRS_0_1_3_0","MNXR1772_MNXM12,MNXR78501_MNXM12","1.CMPD_0000000018:1.MNXM3","1.CMPD_0000000006"
"10","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"10","TRS_0_2_224_0","MNXR89767_MNXM890","1.CMPD_0000000170","1.CMPD_0000000026"
"10","TRS_0_2_9_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM481","1.CMPD_0000000018"
"10","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"10","TRS_0_3_334_0","MNXR8824_MNXM3476,MNXR94628_MNXM3476","1.CMPD_0000000163:1.MNXM10","1.CMPD_0000000170"
"11","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"11","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"11","TRS_0_1_5_0","MNXR81684_MNXM14,MNXR81781_MNXM3,MNXR93632_MNXM7,MNXR93637_MNXM19","1.CMPD_0000000021:1.MNXM15","1.CMPD_0000000006"
"11","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"11","TRS_0_2_223_0","MNXR53231_MNXM890,MNXR93744_MNXM890","1.CMPD_0000000163","1.CMPD_0000000026"
"11","TRS_0_2_44_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000194","1.CMPD_0000000021"
"11","TRS_0_3_113_0","MNXR12875_MNXM2620,MNXR466_MNXM334,MNXR7025_MNXM4817,MNXR70675_MNXM495,MNXR714_MNXM125,MNXR81551_MNXM334,MNXR81684_MNXM125,MNXR81781_MNXM423,MNXR86319_MNXM3596,MNXR88839_MNXM145884,MNXR891_MNXM423,MNXR91136_MNXM125,MNXR93632_MNXM495,MNXR93637_MNXM4817","1.MNXM12:1.MNXM2","1.CMPD_0000000194"
"11","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"12","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"12","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"12","TRS_0_1_2_0","MNXR92327_MNXM51115","1.CMPD_0000000017","1.CMPD_0000000006"
"12","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"12","TRS_0_2_223_0","MNXR53231_MNXM890,MNXR93744_MNXM890","1.CMPD_0000000163","1.CMPD_0000000026"
"12","TRS_0_2_33_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000187","1.CMPD_0000000017"
"12","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"12","TRS_0_3_98_0","MNXR56599_MNXM9","1.MNXM12:1.MNXM2","1.CMPD_0000000187"
"13","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"13","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"13","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"13","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"13","TRS_0_2_231_0","MNXR23496_MNXM2779","1.CMPD_0000000179:1.MNXM4","1.CMPD_0000000011"
"13","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"13","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"13","TRS_0_3_743_0","MNXR23495_MNXM577","1.CMPD_0000000169:1.MNXM2","1.CMPD_0000000179"
"14","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"14","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"14","TRS_0_1_2_0","MNXR92327_MNXM51115","1.CMPD_0000000017","1.CMPD_0000000006"
"14","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"14","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"14","TRS_0_2_33_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000187","1.CMPD_0000000017"
"14","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"14","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"14","TRS_0_3_98_0","MNXR56599_MNXM9","1.MNXM12:1.MNXM2","1.CMPD_0000000187"
"15","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"15","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"15","TRS_0_1_5_0","MNXR81684_MNXM14,MNXR81781_MNXM3,MNXR93632_MNXM7,MNXR93637_MNXM19","1.CMPD_0000000021:1.MNXM15","1.CMPD_0000000006"
"15","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"15","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"15","TRS_0_2_44_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000194","1.CMPD_0000000021"
"15","TRS_0_3_113_0","MNXR12875_MNXM2620,MNXR466_MNXM334,MNXR7025_MNXM4817,MNXR70675_MNXM495,MNXR714_MNXM125,MNXR81551_MNXM334,MNXR81684_MNXM125,MNXR81781_MNXM423,MNXR86319_MNXM3596,MNXR88839_MNXM145884,MNXR891_MNXM423,MNXR91136_MNXM125,MNXR93632_MNXM495,MNXR93637_MNXM4817","1.MNXM12:1.MNXM2","1.CMPD_0000000194"
"15","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"15","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"16","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"16","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"16","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"16","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"16","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"16","TRS_0_2_231_0","MNXR23496_MNXM2779","1.CMPD_0000000179:1.MNXM4","1.CMPD_0000000011"
"16","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"16","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"16","TRS_0_3_743_0","MNXR23495_MNXM577","1.CMPD_0000000169:1.MNXM2","1.CMPD_0000000179"
"17","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"17","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"17","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"17","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"17","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"17","TRS_0_2_231_0","MNXR23496_MNXM2779","1.CMPD_0000000179:1.MNXM4","1.CMPD_0000000011"
"17","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"17","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"17","TRS_0_3_744_0","MNXR26351_MNXM577,MNXR84969_MNXM577","1.MNXM2:1.MNXM828","1.CMPD_0000000179"
"18","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"18","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"18","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"18","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"18","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"18","TRS_0_2_232_0","MNXR5338_MNXM2779","1.CMPD_0000000180:1.MNXM10","1.CMPD_0000000011"
"18","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"18","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"18","TRS_0_3_349_0","MNXR16006_MNXM204,MNXR93854_MNXM204","1.MNXM01:1.MNXM4:1.MNXM421","1.CMPD_0000000180"
"19","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"19","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"19","TRS_0_1_2_0","MNXR92327_MNXM51115","1.CMPD_0000000017","1.CMPD_0000000006"
"19","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"19","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"19","TRS_0_2_33_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000187","1.CMPD_0000000017"
"19","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"19","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"19","TRS_0_3_98_0","MNXR56599_MNXM9","1.MNXM12:1.MNXM2","1.CMPD_0000000187"
"20","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"20","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"20","TRS_0_1_5_0","MNXR81684_MNXM14,MNXR81781_MNXM3,MNXR93632_MNXM7,MNXR93637_MNXM19","1.CMPD_0000000021:1.MNXM15","1.CMPD_0000000006"
"20","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"20","TRS_0_2_223_0","MNXR53231_MNXM890,MNXR93744_MNXM890","1.CMPD_0000000163","1.CMPD_0000000026"
"20","TRS_0_2_40_0","MNXR1772_MNXM12,MNXR78501_MNXM12","1.CMPD_0000000192:1.MNXM3","1.CMPD_0000000021"
"20","TRS_0_2_9_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.MNXM481","1.CMPD_0000000018"
"20","TRS_0_3_301_0","MNXR55970_MNXM279,MNXR70957_MNXM279,MNXR73258_MNXM279","1.MNXM4:1.MNXM76","1.CMPD_0000000163"
"20","TRS_0_3_46_0","MNXR12875_MNXM2620,MNXR466_MNXM334,MNXR7025_MNXM4817,MNXR70675_MNXM495,MNXR714_MNXM125,MNXR81551_MNXM334,MNXR81684_MNXM125,MNXR81781_MNXM423,MNXR86319_MNXM3596,MNXR88839_MNXM145884,MNXR891_MNXM423,MNXR91136_MNXM125,MNXR93632_MNXM495,MNXR93637_MNXM4817","1.CMPD_0000000018:1.MNXM2","1.CMPD_0000000192"
"21","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"21","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
